Array Design Name	Illumina HumanRef-6 Expression BeadChip
Provider	Jack Zhu(zhujack@mail.nih.gov)
Comment[ArrayExpressAccession]	A-GEOD-7306
Comment[SecondaryAccession]	GPL7306
Comment[Description]	Array Manufacturer: Illumina Inc., Distribution: custom-commercial, Technology: oligonucleotide beads, The Sentrix Human-6 BeadChip can be used to study expression of over 47,000 human transcripts. Researchers can generate whole-genome expression profiles for 6 samples in parallel on a single BeadChip. Array is composed of 3 micron features with average feature redundancy of 30-fold . All features are QCed by sequential hybridizations process called array decoding. Probes are fully screened all-full-length 50-mers. Assay requires 50-100ng of total RNA input. Array content is based on RefSeq and additional space is occupied by targets selected from Unigene build 163 and Gnomon databases.<br>Reporter Database Entry [genbank] = RefSeq identifier LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=
Comment[SubmittedName]	Illumina HumanRef-6 Expression BeadChip
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-05-12
Printing Protocol	http://www.illumina.com/technology/platform/tech_plat_arraymfg.ilmn
Surface Type	
Substrate Type	
Term Source Name	genbank

Reporter Name	Comment[Target]	Reporter Database Entry [genbank]	Comment[SPOT_ID]
158	GI_10863996-S	NM_021190.1	
159	GI_10863998-S	NM_021191.1	
160	GI_10864008-I	NM_021198.1	
161	GI_10864010-S	NM_021199.1	
162	GI_10864012-S	NM_021200.1	
163	GI_10864016-S	NM_021204.1	
164	GI_10864018-S	NM_021208.1	
165	GI_10864022-S	NM_021211.1	
166	GI_10864024-S	NM_021212.1	
167	GI_10864026-S	NM_021213.1	
168	GI_10864030-S	NM_021220.1	
169	GI_10864032-S	NM_021221.1	
170	GI_10864034-S	NM_021225.1	
171	GI_10864036-S	NM_021223.1	
172	GI_10864040-A	NM_021230.1	
173	GI_10864040-I	NM_021230.1	
174	GI_10864042-S	NM_021232.1	
175	GI_10864046-S	NM_021235.1	
176	GI_10864048-S	NM_021238.1	
177	GI_10864054-S	NM_021246.1	
178	GI_10864056-S	NM_021247.1	
179	GI_10864062-S	NM_021255.1	
180	GI_10864068-S	NM_021259.1	
181	GI_10864076-S	NM_021098.1	
182	GI_10864080-S	NM_005393.1	
183	GI_10864649-S	NM_002744.2	
184	GI_10880123-A	NM_004228.3	
185	GI_10880124-S	NM_000541.2	
186	GI_10880125-S	NM_003399.3	
187	GI_10880133-A	NM_020251.1	
188	GI_10880974-S	NM_021179.1	
189	GI_10880978-S	NM_002339.1	
190	GI_10880984-S	NM_021268.1	
191	GI_10938004-S	NM_003948.2	
192	GI_10938005-S	NM_019848.2	
193	GI_10938006-I	NM_000548.2	
194	GI_10938009-A	NM_021056.1	
195	GI_10938011-S	NM_005159.2	
196	GI_10938012-S	NM_004424.2	
197	GI_10938013-S	NM_005354.2	
198	GI_10938017-S	NM_004701.2	
199	GI_10938018-S	NM_004950.2	
200	GI_10938019-S	NM_000134.2	
201	GI_10938020-S	NM_004102.2	
202	GI_10938021-S	NM_006367.2	
203	GI_10938022-S	NM_005447.2	
204	GI_10947028-S	NM_006551.2	
205	GI_10947029-S	NM_006217.2	
206	GI_10947030-S	NM_014287.2	
207	GI_10947032-S	NM_002355.2	
208	GI_10947033-S	NM_006454.2	
209	GI_10947034-S	NM_019843.2	
210	GI_10947049-A	NM_020481.1	
211	GI_10947051-I	NM_001148.2	
212	GI_10947053-A	NM_020977.1	
213	GI_10947058-S	NM_004036.2	
214	GI_10947059-I	NM_015270.2	
215	GI_10947062-S	NM_001117.2	
216	GI_10947110-S	NM_001172.2	
217	GI_10947121-I	NM_020297.1	
218	GI_10947123-A	NM_020298.1	
219	GI_10947125-S	NM_002858.2	
220	GI_10947128-A	NM_020324.1	
221	GI_10947130-I	NM_020325.1	
222	GI_10947134-S	NM_001090.1	
223	GI_10947138-S	NM_000045.2	
224	GI_11024640-S	NM_021123.1	
225	GI_11024646-S	NM_000672.2	
226	GI_11024685-S	NM_018164.1	
227	GI_11024693-S	NM_012141.1	
228	GI_11024697-S	NM_012215.1	
229	GI_11024703-S	NM_019083.1	
230	GI_11024711-S	NM_017533.1	
231	GI_11034818-S	NM_020645.1	
232	GI_11034834-I	NM_018675.1	
233	GI_11034854-S	NM_020644.1	
234	GI_11036631-S	NM_014208.1	
235	GI_11036639-S	NM_021132.1	
236	GI_11036645-S	NM_017445.1	
237	GI_11036647-S	NM_021092.1	
238	GI_11036649-S	NM_021093.1	
239	GI_11036657-S	NM_020364.1	
240	GI_11036659-S	NM_020363.1	
241	GI_11037054-S	NM_003116.1	
242	GI_11037056-S	NM_012334.1	
243	GI_11037060-A	NM_021254.1	
244	GI_11037060-I	NM_021254.1	
245	GI_11037062-S	NM_020651.2	
246	GI_11037064-S	NM_018662.1	
247	GI_11038618-S	NM_001614.2	
248	GI_11038619-A	NM_020986.1	
249	GI_11038623-S	NM_004426.1	
250	GI_11038625-S	NM_001615.2	
251	GI_11038626-I	NM_020549.2	
252	GI_11038629-I	NM_020984.1	
253	GI_11038636-I	NM_007327.1	
254	GI_11038638-I	NM_004327.2	
255	GI_11038640-A	NM_021574.1	
256	GI_11038640-I	NM_021574.1	
257	GI_11038642-A	NM_021575.1	
258	GI_11038644-I	NM_004069.2	
259	GI_11038645-S	NM_003860.2	
260	GI_11038647-S	NM_003503.2	
261	GI_11038650-S	NM_006083.2	
262	GI_11038651-S	NM_004219.2	
263	GI_11038652-S	NM_020980.2	
264	GI_11038653-S	NM_006988.2	
265	GI_11038658-A	NM_021599.1	
266	GI_11038661-S	NM_000491.2	
267	GI_11038670-S	NM_004339.2	
268	GI_11038671-A	NM_021601.1	
269	GI_11038673-I	NM_000626.1	
270	GI_11038675-A	NM_021602.1	
271	GI_11055991-S	NM_021626.1	
272	GI_11055993-S	NM_021627.1	
273	GI_11055995-S	NM_021628.1	
274	GI_11056001-S	NM_021631.1	
275	GI_11056007-S	NM_021634.1	
276	GI_11056009-S	NM_021635.1	
277	GI_11056011-S	NM_021637.1	
278	GI_11056017-S	NM_021640.1	
279	GI_11056035-S	NM_015140.1	
280	GI_11056051-S	NM_021642.1	
281	GI_11056053-S	NM_021643.1	
282	GI_11056055-I	NM_021107.1	
283	GI_11063982-S	NM_021645.1	
284	GI_11067750-S	NM_000605.2	
285	GI_11068002-S	NM_000875.2	
286	GI_11068140-S	NM_020643.1	
287	GI_11072092-I	NM_018031.2	
288	GI_11072100-S	NM_012265.1	
289	GI_11079227-S	NM_006178.1	
290	GI_11079650-S	NM_006228.2	
291	GI_11095446-S	NM_020056.1	
292	GI_11096339-S	NM_019895.1	
293	GI_11119413-S	NM_006997.1	
294	GI_11119427-S	NM_021732.1	
295	GI_11119429-S	NM_021733.1	
296	GI_11120735-S	NM_012146.1	
297	GI_11120737-S	NM_012149.1	
298	GI_11125767-S	NM_014413.2	
299	GI_11125769-S	NM_006303.2	
300	GI_11125771-S	NM_002356.4	
301	GI_11125773-S	NM_000535.2	
302	GI_11125774-S	NM_000537.2	
303	GI_11128014-S	NM_021002.1	
304	GI_11128020-S	NM_018991.1	
305	GI_11136625-S	NM_015718.1	
306	GI_11138122-S	NM_020402.2	
307	GI_11140810-S	NM_003589.1	
308	GI_11140814-S	NM_006657.1	
309	GI_11141874-S	NM_021803.1	
310	GI_11141876-S	NM_021805.1	
311	GI_11141882-S	NM_021812.1	
312	GI_11141886-S	NM_021817.1	
313	GI_11141890-S	NM_021819.1	
314	GI_11141892-S	NM_021820.1	
315	GI_11141898-S	NM_021824.1	
316	GI_11141904-S	NM_021827.1	
317	GI_11181769-I	NM_020208.1	
318	GI_11184225-S	NM_002925.2	
319	GI_11184232-S	NM_017545.2	
320	GI_11184237-S	NM_006562.3	
321	GI_11225606-S	NM_017416.1	
322	GI_11225608-S	NM_021804.1	
323	GI_11231178-A	NM_021708.1	
324	GI_11231178-I	NM_021708.1	
325	GI_11276084-S	NM_021027.1	
326	GI_11277467-I	NM_006427.2	
327	GI_11277469-A	NM_021709.1	
328	GI_11321560-S	NM_000613.1	
329	GI_11321570-S	NM_003062.1	
330	GI_11321574-S	NM_003695.1	
331	GI_11321578-S	NM_003802.1	
332	GI_11321580-S	NM_003849.1	
333	GI_11321582-S	NM_003850.1	
334	GI_11321586-S	NM_002113.1	
335	GI_11321592-S	NM_002178.1	
336	GI_11321594-S	NM_002207.1	
337	GI_11321596-S	NM_002253.1	
338	GI_11321604-S	NM_004187.1	
339	GI_11321616-S	NM_006426.1	
340	GI_11321627-S	NM_007272.1	
341	GI_11321629-S	NM_007121.1	
342	GI_11321633-S	NM_012120.1	
343	GI_11321635-S	NM_012217.1	
344	GI_11321641-S	NM_014577.1	
345	GI_11342663-S	NM_002463.1	
346	GI_11342665-S	NM_004530.1	
347	GI_11342671-S	NM_002470.1	
348	GI_11345453-S	NM_021922.1	
349	GI_11345457-S	NM_021925.1	
350	GI_11345459-S	NM_021927.1	
351	GI_11345461-S	NM_021928.1	
352	GI_11345471-S	NM_021933.1	
353	GI_11345479-S	NM_021941.1	
354	GI_11345483-S	NM_021943.1	
355	GI_11345485-S	NM_021944.1	
356	GI_11345491-S	NM_021947.1	
357	GI_11386138-S	NM_000932.1	
358	GI_11386142-S	NM_000934.1	
359	GI_11386146-S	NM_002778.1	
360	GI_11386152-S	NM_003554.1	
361	GI_11386154-S	NM_021949.1	
362	GI_11386156-S	NM_001785.1	
363	GI_11386170-S	NM_004363.1	
364	GI_11386172-S	NM_021951.1	
365	GI_11386174-A	NM_021959.1	
366	GI_11386184-S	NM_006077.1	
367	GI_11386190-S	NM_006893.1	
368	GI_11386194-S	NM_012182.1	
369	GI_11386196-S	NM_012186.1	
370	GI_11386198-S	NM_015480.1	
371	GI_11386200-S	NM_020121.2	
372	GI_11415027-S	NM_021966.1	
373	GI_11415031-S	NM_003552.1	
374	GI_11415033-S	NM_003555.1	
375	GI_11415035-S	NM_021964.1	
376	GI_11415045-S	NM_021967.1	
377	GI_11496238-S	NM_021975.1	
378	GI_11496266-S	NM_021926.1	
379	GI_11496268-S	NM_021994.1	
380	GI_11496272-S	NM_021992.1	
381	GI_11496274-S	NM_003553.1	
382	GI_11496280-S	NM_015596.1	
383	GI_11496282-S	NM_021796.1	
384	GI_11496880-S	NM_005229.2	
385	GI_11496883-S	NM_001832.2	
386	GI_11496886-S	NM_000667.2	
387	GI_11496888-S	NM_000669.2	
388	GI_11496889-S	NM_000670.2	
389	GI_11496890-S	NM_000671.2	
390	GI_11496969-S	NM_000673.2	
391	GI_11496970-A	NM_000832.4	
392	GI_11496977-S	NM_014223.2	
393	GI_11496979-S	NM_000534.2	
394	GI_11496980-A	NM_003174.2	
395	GI_11496980-I	NM_003174.2	
396	GI_11496981-I	NM_021738.1	
397	GI_11496985-S	NM_012072.2	
398	GI_11496986-S	NM_016590.2	
399	GI_11496987-S	NM_002910.4	
400	GI_11496988-S	NM_000152.2	
401	GI_11496989-S	NM_001618.2	
402	GI_11496990-S	NM_006437.2	
403	GI_11496991-S	NM_005484.2	
404	GI_11496992-S	NM_005485.2	
405	GI_11496993-A	NM_021777.1	
406	GI_11496993-I	NM_021777.1	
407	GI_11496997-A	NM_021612.1	
408	GI_11496999-A	NM_021641.1	
409	GI_11496999-I	NM_021641.1	
410	GI_11497001-S	NM_003815.2	
411	GI_11497005-A	NM_021832.1	
412	GI_11497600-I	NM_014269.2	
413	GI_11497602-A	NM_021779.1	
414	GI_11497606-S	NM_001464.2	
415	GI_11497611-A	NM_021903.1	
416	GI_11497611-I	NM_021903.1	
417	GI_11545742-S	NM_022044.1	
418	GI_11545750-S	NM_022048.1	
419	GI_11545752-S	NM_022049.1	
420	GI_11545756-S	NM_022052.1	
421	GI_11545760-S	NM_022055.1	
422	GI_11545764-S	NM_022059.1	
423	GI_11545766-S	NM_022060.1	
424	GI_11545768-S	NM_022062.1	
425	GI_11545770-S	NM_022063.1	
426	GI_11545792-S	NM_022078.1	
427	GI_11545796-A	NM_022083.1	
428	GI_11545800-S	NM_022087.1	
429	GI_11545810-S	NM_022097.1	
430	GI_11545816-S	NM_022107.1	
431	GI_11545826-S	NM_022112.1	
432	GI_11545834-S	NM_022117.1	
433	GI_11545840-S	NM_022120.1	
434	GI_11545844-S	NM_022122.1	
435	GI_11545846-I	NM_022123.1	
436	GI_11545852-S	NM_022127.1	
437	GI_11545854-S	NM_022128.1	
438	GI_11545856-S	NM_022129.1	
439	GI_11545860-S	NM_022131.1	
440	GI_11545866-S	NM_022134.1	
441	GI_11545882-S	NM_022144.1	
442	GI_11545886-S	NM_022146.1	
443	GI_11545889-S	NM_022147.1	
444	GI_11545911-S	NM_022162.1	
445	GI_11545913-S	NM_022167.1	
446	GI_11545917-S	NM_022164.1	
447	GI_11545919-S	NM_022165.1	
448	GI_11545925-S	NM_022001.1	
449	GI_11559922-I	NM_022170.1	
450	GI_11559926-S	NM_022100.1	
451	GI_11560140-S	NM_022171.1	
452	GI_11612654-S	NM_022003.1	
453	GI_11612658-S	NM_022006.1	
454	GI_11612673-I	NM_021910.1	
455	GI_11612675-A	NM_005971.2	
456	GI_11641230-S	NM_022336.1	
457	GI_11641236-S	NM_022337.1	
458	GI_11641238-S	NM_022338.1	
459	GI_11641240-S	NM_022340.1	
460	GI_11641242-S	NM_022341.1	
461	GI_11641254-S	NM_022347.1	
462	GI_11641260-S	NM_022350.1	
463	GI_11641264-S	NM_022353.1	
464	GI_11641266-S	NM_022354.1	
465	GI_11641268-S	NM_022355.1	
466	GI_11641272-S	NM_022357.1	
467	GI_11641288-S	NM_022366.1	
468	GI_11641302-S	NM_022374.1	
469	GI_11641403-S	NM_020990.2	
470	GI_11641404-S	NM_001830.2	
471	GI_11641410-A	NM_021872.1	
472	GI_11641414-I	NM_021874.1	
473	GI_11641417-S	NM_004962.2	
474	GI_11641418-S	NM_005811.2	
475	GI_11641419-S	NM_001492.3	
476	GI_11641422-A	NM_021906.1	
477	GI_11641426-S	NM_004654.2	
478	GI_11761614-A	NM_022172.1	
479	GI_11761614-I	NM_022172.1	
480	GI_11761618-I	NM_013334.2	
481	GI_11761620-A	NM_021971.1	
482	GI_11761622-I	NM_000920.2	
483	GI_11761623-A	NM_018412.2	
484	GI_11761623-I	NM_018412.2	
485	GI_11761625-I	NM_021908.1	
486	GI_11761627-I	NM_000508.2	
487	GI_11761628-A	NM_021871.1	
488	GI_11761628-I	NM_021871.1	
489	GI_11761630-S	NM_005141.1	
490	GI_11761632-I	NM_021870.1	
491	GI_11761634-A	NM_000509.3	
492	GI_11761634-I	NM_000509.3	
493	GI_11761636-S	NM_006687.2	
494	GI_11761637-S	NM_006686.2	
495	GI_11863127-A	NM_020473.1	
496	GI_11863129-I	NM_002641.1	
497	GI_11863131-A	NM_022002.1	
498	GI_11863131-I	NM_022002.1	
499	GI_11863151-S	NM_004973.2	
500	GI_11863155-S	NM_021111.1	
501	GI_11863157-S	NM_002931.2	
502	GI_11863158-S	NM_002958.1	
503	GI_11863160-A	NM_022037.1	
504	GI_11863164-S	NM_014317.2	
505	GI_11967980-S	NM_022449.1	
506	GI_11967986-S	NM_022452.1	
507	GI_11968022-S	NM_022473.1	
508	GI_11968026-S	NM_022476.1	
509	GI_11968040-S	NM_022487.1	
510	GI_11968044-S	NM_022489.1	
511	GI_11968046-S	NM_022490.1	
512	GI_11968048-S	NM_022492.1	
513	GI_11968050-S	NM_022493.1	
514	GI_11968052-S	NM_022494.1	
515	GI_11968151-S	NM_016148.1	
516	GI_11968153-S	NM_020535.1	
517	GI_11991659-S	NM_020796.1	
518	GI_11993934-S	NM_004000.1	
519	GI_11993942-S	NM_014604.1	
520	GI_11995467-S	NM_021034.1	
521	GI_11995473-S	NM_019884.1	
522	GI_12007645-S	NM_022567.1	
523	GI_12007649-S	NM_022569.1	
524	GI_12025664-S	NM_003350.2	
525	GI_12025666-S	NM_012128.2	
526	GI_12025669-S	NM_001102.2	
527	GI_12025672-A	NM_021737.1	
528	GI_12056462-S	NM_012151.2	
529	GI_12056464-S	NM_001436.2	
530	GI_12056466-S	NM_004076.3	
531	GI_12056467-A	NM_021991.1	
532	GI_12056469-S	NM_021785.2	
533	GI_12056470-S	NM_003979.2	
534	GI_12056472-S	NM_018946.2	
535	GI_12056477-S	NM_003353.2	
536	GI_12056478-I	NM_021995.1	
537	GI_12056480-A	NM_006786.2	
538	GI_12056480-I	NM_006786.2	
539	GI_12056481-S	NM_004234.3	
540	GI_12056483-S	NM_006991.2	
541	GI_12056970-S	NM_022662.1	
542	GI_12056972-S	NM_022659.1	
543	GI_12056974-S	NM_022663.1	
544	GI_12225239-S	NM_015136.1	
545	GI_12232372-S	NM_012197.2	
546	GI_12232384-S	NM_022730.1	
547	GI_12232386-S	NM_022731.1	
548	GI_12232388-S	NM_022734.1	
549	GI_12232392-S	NM_022736.1	
550	GI_12232394-S	NM_022737.1	
551	GI_12232400-S	NM_022743.1	
552	GI_12232402-S	NM_022744.1	
553	GI_12232406-S	NM_022747.1	
554	GI_12232412-S	NM_022750.1	
555	GI_12232414-S	NM_022751.1	
556	GI_12232418-S	NM_022753.1	
557	GI_12232428-S	NM_022759.1	
558	GI_12232430-S	NM_022761.1	
559	GI_12232436-S	NM_022764.1	
560	GI_12232446-S	NM_022769.1	
561	GI_12232454-S	NM_022773.1	
562	GI_12232456-S	NM_022774.1	
563	GI_12232462-S	NM_022777.1	
564	GI_12232472-S	NM_022783.1	
565	GI_12232474-S	NM_022784.1	
566	GI_12232478-S	NM_022786.1	
567	GI_12383050-S	NM_016192.2	
568	GI_12383052-S	NM_020245.2	
569	GI_12383057-S	NM_022819.1	
570	GI_12383061-S	NM_022822.1	
571	GI_12383063-S	NM_022823.1	
572	GI_12383065-S	NM_022826.1	
573	GI_12383073-S	NM_022830.1	
574	GI_12383075-S	NM_022831.1	
575	GI_12383083-S	NM_022837.1	
576	GI_12383091-S	NM_022841.1	
577	GI_12408637-A	NM_022405.1	
578	GI_12408641-S	NM_005104.2	
579	GI_12408642-S	NM_007371.2	
580	GI_12408643-A	NM_003401.2	
581	GI_12408644-S	NM_005432.2	
582	GI_12408645-S	NM_001748.3	
583	GI_12408650-S	NM_021141.2	
584	GI_12408653-S	NM_012200.2	
585	GI_12408655-S	NM_005186.2	
586	GI_12408657-A	NM_022809.1	
587	GI_12408659-I	NM_001790.2	
588	GI_12408664-A	NM_022440.1	
589	GI_12408674-S	NM_012394.2	
590	GI_12408676-S	NM_002623.2	
591	GI_12545377-A	NM_022580.1	
592	GI_12545379-S	NM_021920.2	
593	GI_12545383-S	NM_021973.1	
594	GI_12545386-S	NM_006032.2	
595	GI_12545388-S	NM_012262.2	
596	GI_12545394-I	NM_022307.1	
597	GI_12545396-I	NM_022308.1	
598	GI_12545398-S	NM_000873.2	
599	GI_12545399-S	NM_002162.2	
600	GI_12545400-A	NM_001544.2	
601	GI_12545401-I	NM_022377.1	
602	GI_12545403-S	NM_003259.2	
603	GI_12545405-A	NM_022650.1	
604	GI_12545405-I	NM_022650.1	
605	GI_12545407-S	NM_006506.2	
606	GI_12548775-S	NM_000812.2	
607	GI_12548784-I	NM_021911.1	
608	GI_12597621-S	NM_006660.3	
609	GI_12597624-S	NM_012068.2	
610	GI_12597630-S	NM_022895.1	
611	GI_12597640-S	NM_022901.1	
612	GI_12597648-S	NM_022906.1	
613	GI_12597650-S	NM_022907.1	
614	GI_12597652-S	NM_022908.1	
615	GI_12597656-S	NM_022912.1	
616	GI_12597658-S	NM_022914.1	
617	GI_12621915-S	NM_004084.2	
618	GI_12621916-S	NM_005217.2	
619	GI_12621917-S	NM_001926.2	
620	GI_12621918-S	NM_003186.2	
621	GI_12669906-S	NM_021122.2	
622	GI_12669908-I	NM_022977.1	
623	GI_12669910-S	NM_005225.1	
624	GI_12669913-S	NM_001949.2	
625	GI_12669916-S	NM_001951.2	
626	GI_12707557-I	NM_021990.1	
627	GI_12707559-A	NM_004961.2	
628	GI_12707560-A	NM_003894.3	
629	GI_12707561-I	NM_022817.1	
630	GI_12707563-S	NM_004418.2	
631	GI_12707564-I	NM_004425.2	
632	GI_12707565-S	NM_004419.2	
633	GI_12707569-S	NM_004092.2	
634	GI_12707571-A	NM_022664.1	
635	GI_12707573-S	NM_006188.2	
636	GI_12707574-S	NM_000915.2	
637	GI_12707576-A	NM_022716.1	
